rango,personas
"355.500,00",159
"426.600,00",214
"497.700,00",222
"568.800,00",649
"639.900,00",397
"711.000,00",597
"782.100,00",191
"853.200,00",493
"924.300,00",156
"995.400,00",50
"1.066.500,00",110
"1.137.600,00",69
"1.208.700,00",85
